"LABEL","DESCRIPTION"
"A12AX","Calcium, combinations with vitamin D and/or other drugs"
"A12BA01","potassium chloride"
"A14AB01","nandrolone"
"A16AX03","sodium phenylbutyrate"
"B01AA02","phenindione"
"B01AA03","warfarin"
"B01AB04","dalteparin"
"B01AB05","enoxaparin"
"B01AB10","tinzaparin"
"B01AC04","clopidogrel"
"B01AC05","ticlopidine"
"B01AC06","acetylsalicylic acid"
"B01AC07","dipyridamole"
"B01AC11","iloprost"
"B01AC22","prasugrel"
"B01AC24","ticagrelor"
"B01AC30","combinations"
"B01AE05","ximelagatran"
"B01AE07","dabigatran etexilate"
"B01AF02","apixaban"
"B01AX05","fondaparinux"
"B02AA02","tranexamic acid"
"B02BD02","coagulation factor VIII"
"B02BD06","von Willebrand factor and coagulation factor VIII in combination"
"B03BA01","cyanocobalamin"
"B03BA02","cyanocobalamin tannin complex"
"B03BA03","hydroxocobalamin"
"B03BB01","folic acid"
"B03XA01","erythropoietin"
"B03XA02","darbepoetin alfa"
"B03XA03","methoxy polyethylene glycol-epoetin beta"
"C01AA05","digoxin"
"C01BA01","quinidine"
"C01BA03","disopyramide"
"C01BB02","mexiletine"
"C01BC03","propafenone"
"C01BC04","flecainide"
"C01BD01","amiodarone"
"C01BD07","dronedarone"
"C01CA01","etilefrine"
"C01CA24","epinephrine"
"C01DA02","glyceryl trinitrate"
"C01DA08","isosorbide dinitrate"
"C01DA14","isosorbide mononitrate"
"C02AC01","clonidine"
"C02AC05","moxonidine"
"C02CA01","prazosin"
"C02DC01","minoxidil"
"C02KX01","bosentan"
"C03AA03","hydrochlorothiazide"
"C03BA11","indapamide"
"C03CA01","furosemide"
"C03DA01","spironolactone"
"C03DB01","amiloride"
"C03EA01","hydrochlorothiazide and potassium-sparing agents"
"C03EA02","trichlormethiazide and potassium-sparing agents"
"C03EB01","furosemide and potassium-sparing agents"
"C04AE01","ergoloid mesylates"
"C04AX01","cyclandelate"
"C04AX02","phenoxybenzamine"
"C05AA01","hydrocortisone"
"C05AA05","betamethasone"
"C05AA08","fluocortolone"
"C05BA04","pentosan polysulfate sodium"
"C07AA03","pindolol"
"C07AA05","propranolol"
"C07AA06","timolol"
"C07AA07","sotalol"
"C07AB02","metoprolol"
"C07AB03","atenolol"
"C07AB04","acebutolol"
"C07AB05","betaxolol"
"C07AB07","bisoprolol"
"C07AB08","celiprolol"
"C07AB12","nebivolol"
"C07AG01","labetalol"
"C07AG02","carvedilol"
"C07BB02","metoprolol and thiazides"
"C07BB07","bisoprolol and thiazides"
"C07BB12","nebivolol and thiazides"
"C07FB02","metoprolol and other antihypertensives"
"C07FB03","atenolol and other antihypertensives"
"C08CA01","amlodipine"
"C08CA02","felodipine"
"C08CA03","isradipine"
"C08CA05","nifedipine"
"C08CA06","nimodipine"
"C08CA07","nisoldipine"
"C08CA10","nilvadipine"
"C08CA13","lercanidipine"
"C08DA01","verapamil"
"C08DB01","diltiazem"
"C09AA01","captopril"
"C09AA02","enalapril"
"C09AA03","lisinopril"
"C09AA04","perindopril"
"C09AA05","ramipril"
"C09AA06","quinapril"
"C09AA16","imidapril"
"C09BA02","enalapril and diuretics"
"C09BA03","lisinopril and diuretics"
"C09BA04","perindopril and diuretics"
"C09BA05","ramipril and diuretics"
"C09BA06","quinapril and diuretics"
"C09BB02","enalapril and lercanidipine"
"C09BB04","perindopril and amlodipine"
"C09BB05","ramipril and felodipine"
"C09BB10","trandolapril and verapamil"
"C09CA01","losartan"
"C09CA02","eprosartan"
"C09CA03","valsartan"
"C09CA04","irbesartan"
"C09CA06","candesartan"
"C09CA07","telmisartan"
"C09CA08","olmesartan medoxomil"
"C09DA01","losartan and diuretics"
"C09DA02","eprosartan and diuretics"
"C09DA03","valsartan and diuretics"
"C09DA06","candesartan and diuretics "
"C09DA07","telmisartan and diuretics"
"C09DA08","olmesartan medoxomil and diuretics"
"C09DB01","valsartan and amlodipine"
"C09DB02","olmesartan medoxomil and amlodipine"
"C09DX01","valsartan, amlodipine and hydrochlorothiazide"
"C09XA02","aliskiren"
"C10AA01","simvastatin"
"C10AA02","lovastatin"
"C10AA03","pravastatin"
"C10AA04","fluvastatin"
"C10AA05","atorvastatin"
"C10AA07","rosuvastatin"
"C10AB02","bezafibrate"
"C10AB04","gemfibrozil"
"C10AB05","fenofibrate"
"C10AC01","colestyramine"
"C10AC02","colestipol"
"C10AX09","ezetimibe"
"C10BA02","simvastatin and ezetimibe"
"G01AA10","clindamycin"
"G01AF05","econazole"
"G02BA03","plastic IUD with progestogen"
"G02CB01","bromocriptine"
"G02CB03","cabergoline"
"G03AC06","medroxyprogesterone"
"G03BA03","testosterone"
"G03BB01","mesterolone"
"G03CA03","estradiol"
"G03CA04","estriol"
"G03CA57","conjugated estrogens"
"G03CX01","tibolone"
"G03DA02","medroxyprogesterone"
"G03DA04","progesterone"
"G03DB01","dydrogesterone"
"G03DB02","megestrol"
"G03DC02","norethisterone"
"G03DC03","lynestrenol"
"G03FA01","norethisterone and estrogen"
"G03FA12","medroxyprogesterone and estrogen"
"G03FA14","dydrogesterone and estrogen"
"G03FA17","drospirenone and estrogen"
"G03FB05","norethisterone and estrogen"
"G03FB06","medroxyprogesterone and estrogen"
"G03FB08","dydrogesterone and estrogen"
"G03FB09","levonorgestrel and estrogen"
"G03FB11","trimegestone and estrogen"
"G03GA01","chorionic gonadotrophin"
"G03GA06","follitropin beta"
"G03HA01","cyproterone"
"G03HB01","cyproterone and estrogen"
"G03XA01","danazol"
"G03XC01","raloxifene"
"G04BD01","emepronium"
"G04BD04","oxybutynin"
"G04BD07","tolterodine"
"G04BD08","solifenacin"
"G04BD09","trospium"
"G04BD10","darifenacin"
"G04BD11","fesoterodine"
"G04BE01","alprostadil"
"G04BE03","sildenafil"
"G04BE04","yohimbine"
"G04BE08","tadalafil"
"G04BE09","vardenafil"
"G04CA01","alfuzosin"
"G04CA02","tamsulosin"
"G04CA52","tamsulosin and dutasteride"
"G04CB01","finasteride"
"G04CB02","dutasteride"
"H01AC01","somatropin"
"H01BA02","desmopressin"
"H01CB02","octreotide"
"H01CB03","lanreotide"
"H02AA02","fludrocortisone"
"H02AB01","betamethasone"
"H02AB02","dexamethasone"
"H02AB04","methylprednisolone"
"H02AB06","prednisolone"
"H02AB07","prednisone"
"H02AB09","hydrocortisone"
"H02BX01","methylprednisolone, combinations"
"H03AA01","levothyroxine sodium"
"H03BA02","propylthiouracil"
"H03BB01","carbimazole"
"H04AA01","glucagon"
"H05AA02","teriparatide"
"H05AA03","parathyroid hormone"
"H05BA01","calcitonin (salmon synthetic)"
"H05BX01","cinacalcet"
"H05BX02","paricalcitol"
"J01AA02","doxycycline"
"J01AA04","lymecycline"
"J01AA07","tetracycline"
"J01CA04","amoxicillin"
"J01CA08","pivmecillinam"
"J01CE01","benzylpenicillin"
"J01CE02","phenoxymethylpenicillin"
"J01CE08","benzathine benzylpenicillin"
"J01CE09","procaine benzylpenicillin"
"J01CF01","dicloxacillin"
"J01CF02","cloxacillin"
"J01CF05","flucloxacillin"
"J01CR02","amoxicillin and enzyme inhibitor"
"J01DB01","cefalexin"
"J01DB05","cefadroxil"
"J01DC02","cefuroxime"
"J01DC04","cefaclor"
"J01DD04","ceftriaxone"
"J01EA01","trimethoprim"
"J01EE01","sulfamethoxazole and trimethoprim"
"J01EE02","sulfadiazine and trimethoprim"
"J01FA01","erythromycin"
"J01FA06","roxithromycin"
"J01FA09","clarithromycin"
"J01FA10","azithromycin"
"J01FA15","telithromycin"
"J01FF01","clindamycin"
"J01GB01","tobramycin"
"J01MA01","ofloxacin"
"J01MA02","ciprofloxacin"
"J01MA06","norfloxacin"
"J01MA12","levofloxacin"
"J01MA14","moxifloxacin"
"J01XB01","colistin"
"J01XC01","fusidic acid"
"J01XE01","nitrofurantoin"
"J01XX01","fosfomycin"
"J01XX05","methenamine"
"J01XX08","linezolid"
"J02AB02","ketoconazole"
"J02AC01","fluconazole"
"J02AC02","itraconazole"
"J02AC03","voriconazole"
"J02AC04","posaconazole"
"J04AB02","rifampicin"
"J04BA02","dapsone"
"J05AB01","aciclovir"
"J05AB09","famciclovir"
"J05AB11","valaciclovir"
"J05AH02","oseltamivir"
"J06BA01","immunoglobulins, normal human, for extravascular adm."
"L01AA01","cyclophosphamide"
"L01AA02","chlorambucil"
"L01AA03","melphalan"
"L01AB01","busulfan"
"L01AX03","temozolomide"
"L01BA01","methotrexate"
"L01BB02","mercaptopurine"
"L01BB05","fludarabine"
"L01BC04","carmofur"
"L01BC05","gemcitabine"
"L01BC06","capecitabine"
"L01CA04","vinorelbine"
"L01CB01","etoposide"
"L01CD02","docetaxel"
"L01DB03","epirubicin"
"L01DB06","idarubicin"
"L01XA02","carboplatin"
"L01XE01","imatinib"
"L01XE02","gefitinib"
"L01XE03","erlotinib"
"L01XE04","sunitinib"
"L01XE05","sorafenib"
"L01XE06","dasatinib"
"L01XE07","lapatinib"
"L01XE08","nilotinib"
"L01XE10","everolimus"
"L01XE11","pazopanib"
"L01XX05","hydroxycarbamide"
"L01XX11","estramustine"
"L01XX17","topotecan"
"L01XX23","mitotane"
"L01XX35","anagrelide"
"L02AA02","polyestradiol phosphate"
"L02AB01","megestrol"
"L02AB02","medroxyprogesterone"
"L02AE01","buserelin"
"L02AE02","leuprorelin"
"L02AE03","goserelin"
"L02BA01","tamoxifen"
"L02BA02","toremifene"
"L02BA03","fulvestrant"
"L02BB01","flutamide"
"L02BB03","bicalutamide"
"L02BG03","anastrozole"
"L02BG04","letrozole"
"L02BG06","exemestane"
"L02BX02","degarelix"
"L02BX03","abiraterone"
"L03AA02","filgrastim"
"L03AA10","lenograstim"
"L03AA13","pegfilgrastim"
"L03AB01","interferon alfa natural"
"L03AB04","interferon alfa-2a"
"L03AB05","interferon alfa-2b"
"L03AB07","interferon beta-1a"
"L03AB08","interferon beta-1b"
"L03AX13","glatiramer acetate"
"L04AA06","mycophenolic acid"
"L04AA13","leflunomide"
"L04AB01","etanercept"
"L04AB04","adalimumab"
"L04AB05","certolizumab pegol"
"L04AB06","golimumab"
"L04AC03","anakinra"
"L04AC05","ustekinumab"
"L04AD01","ciclosporin"
"L04AD02","tacrolimus"
"L04AX01","azathioprine"
"L04AX02","thalidomide"
"L04AX03","methotrexate"
"L04AX04","lenalidomide"
"M01AB01","indometacin"
"M01AB05","diclofenac"
"M01AB08","etodolac"
"M01AB16","aceclofenac"
"M01AB51","indometacin, combinations"
"M01AB55","diclofenac, combinations"
"M01AC01","piroxicam"
"M01AC02","tenoxicam"
"M01AC05","lornoxicam"
"M01AC06","meloxicam"
"M01AE01","ibuprofen"
"M01AE02","naproxen"
"M01AE03","ketoprofen"
"M01AE11","tiaprofenic acid"
"M01AE14","dexibuprofen"
"M01AE52","naproxen and esomeprazole"
"M01AG01","mefenamic acid"
"M01AG02","tolfenamic acid"
"M01AH01","celecoxib"
"M01AH02","rofecoxib"
"M01AH03","valdecoxib"
"M01AH05","etoricoxib"
"M01AX01","nabumetone"
"M01AX05","glucosamine"
"M01CB01","sodium aurothiomalate"
"M01CB03","auranofin"
"M01CC01","penicillamine"
"M02AA07","piroxicam"
"M02AA10","ketoprofen"
"M02AA15","diclofenac"
"M03AX01","botulinum toxin"
"M03BA52","carisoprodol, combinations excl. psycholeptics"
"M03BC01","orphenadrine (citrate)"
"M03BC51","orphenadrine, combinations"
"M03BX01","baclofen"
"M03BX02","tizanidine"
"M04AA01","allopurinol"
"M04AA03","febuxostat"
"M04AB01","probenecid"
"M05BA01","etidronic acid"
"M05BA02","clodronic acid"
"M05BA03","pamidronic acid"
"M05BA04","alendronic acid"
"M05BA06","ibandronic acid"
"M05BA07","risedronic acid"
"M05BA08","zoledronic acid"
"M05BB03","alendronic acid and colecalciferol"
"M05BB04","risedronic acid, calcium and colecalciferol, sequential"
"M05BX03","strontium ranelate"
"M05BX04","denosumab"
"M09AA72","quinine, combinations with psycholeptics"
"M09AX01","hyaluronic acid"
"N01BB02","lidocaine"
"N01BX04","capsaicin"
"N02AA01","morphine"
"N02AA03","hydromorphone"
"N02AA05","oxycodone"
"N02AA59","codeine, combinations excl. psycholeptics"
"N02AB03","fentanyl"
"N02AC04","dextropropoxyphene"
"N02AE01","buprenorphine"
"N02AX02","tramadol"
"N02BA11","diflunisal"
"N02BA14","guacetisal"
"N02BE01","paracetamol"
"N02CA01","dihydroergotamine"
"N02CA52","ergotamine, combinations excl. psycholeptics"
"N02CC01","sumatriptan"
"N02CC02","naratriptan"
"N02CC03","zolmitriptan"
"N02CC04","rizatriptan"
"N02CC05","almotriptan"
"N02CC06","eletriptan"
"N02CC07","frovatriptan"
"N02CX01","pizotifen"
"N03AA03","primidone"
"N03AB02","phenytoin"
"N03AD01","ethosuximide"
"N03AE01","clonazepam"
"N03AF01","carbamazepine"
"N03AF02","oxcarbazepine"
"N03AG01","valproic acid"
"N03AG04","vigabatrin"
"N03AG06","tiagabine"
"N03AX09","lamotrigine"
"N03AX11","topiramate"
"N03AX12","gabapentin"
"N03AX14","levetiracetam"
"N03AX15","zonisamide"
"N03AX16","pregabalin"
"N03AX18","lacosamide"
"N04AA02","biperiden"
"N04BA02","levodopa and decarboxylase inhibitor"
"N04BA03","levodopa, decarboxylase inhibitor and COMT inhibitor"
"N04BB01","amantadine"
"N04BC01","bromocriptine"
"N04BC02","pergolide"
"N04BC04","ropinirole"
"N04BC05","pramipexole"
"N04BC06","cabergoline"
"N04BC09","rotigotine"
"N04BD01","selegiline"
"N04BD02","rasagiline"
"N04BX01","tolcapone"
"N04BX02","entacapone"
"N05AA01","chlorpromazine"
"N05AA02","levomepromazine"
"N05AB01","dixyrazine"
"N05AB02","fluphenazine"
"N05AB03","perphenazine"
"N05AB04","prochlorperazine"
"N05AC01","periciazine"
"N05AC02","thioridazine"
"N05AD01","haloperidol"
"N05AD03","melperone"
"N05AE03","sertindole"
"N05AE04","ziprasidone"
"N05AF01","flupentixol"
"N05AF03","chlorprothixene"
"N05AF05","zuclopenthixol"
"N05AG02","pimozide"
"N05AG03","penfluridol"
"N05AH02","clozapine"
"N05AH03","olanzapine"
"N05AH04","quetiapine"
"N05AL01","sulpiride"
"N05AN01","lithium"
"N05AX08","risperidone"
"N05AX12","aripiprazole"
"N05BA01","diazepam"
"N05BA02","chlordiazepoxide"
"N05BA04","oxazepam"
"N05BA06","lorazepam"
"N05BA09","clobazam"
"N05BA12","alprazolam"
"N05BE01","buspirone"
"N05CD02","nitrazepam"
"N05CD07","temazepam"
"N05CF01","zopiclone"
"N05CF02","zolpidem"
"N06AA04","clomipramine"
"N06AA06","trimipramine"
"N06AA09","amitriptyline"
"N06AA10","nortriptyline"
"N06AA12","doxepin"
"N06AB03","fluoxetine"
"N06AB04","citalopram"
"N06AB05","paroxetine"
"N06AB06","sertraline"
"N06AB08","fluvoxamine"
"N06AB10","escitalopram"
"N06AG02","moclobemide"
"N06AX03","mianserin"
"N06AX05","trazodone"
"N06AX11","mirtazapine"
"N06AX12","bupropion"
"N06AX16","venlafaxine"
"N06AX17","milnacipran"
"N06AX18","reboxetine"
"N06AX21","duloxetine"
"N06AX22","agomelatine"
"N06BA01","amfetamine"
"N06BA04","methylphenidate"
"N06BA07","modafinil"
"N06BX03","piracetam"
"N06CA01","amitriptyline and psycholeptics"
"N06DA02","donepezil"
"N06DA03","rivastigmine"
"N06DA04","galantamine"
"N06DX01","memantine"
"N07AA02","pyridostigmine"
"N07AA03","distigmine"
"N07BB01","disulfiram"
"N07BB04","naltrexone"
"N07BC02","methadone"
"N07CA01","betahistine"
"N07XX02","riluzole"
"N07XX04","sodium oxybate"
"N07XX06","tetrabenazine"
"P01AB01","metronidazole"
"P01BA02","hydroxychloroquine"
"R01AA03","ephedrine"
"R01AC01","cromoglicic acid"
"R01AC02","levocabastine"
"R01AC03","azelastine"
"R01AC07","nedocromil"
"R01AD01","beclometasone"
"R01AD05","budesonide"
"R01AD08","fluticasone"
"R01AD09","mometasone"
"R01AD11","triamcinolone"
"R01AD12","fluticasone furoate"
"R01AX03","ipratropium bromide"
"R01BA01","phenylpropanolamine"
"R01BA52","pseudoephedrine, combinations"
"R03AC02","salbutamol"
"R03AC03","terbutaline"
"R03AC04","fenoterol"
"R03AC12","salmeterol"
"R03AC13","formoterol"
"R03AC18","indacaterol"
"R03AK06","salmeterol and other drugs for obstructive airway diseases"
"R03AK07","formoterol and other drugs for obstructive airway diseases"
"R03BA01","beclometasone"
"R03BA02","budesonide"
"R03BA05","fluticasone"
"R03BA07","mometasone"
"R03BA08","ciclesonide"
"R03BB01","ipratropium bromide"
"R03BB02","oxitropium bromide"
"R03BB04","tiotropium bromide"
"R03BC01","cromoglicic acid"
"R03BC03","nedocromil"
"R03CA02","ephedrine"
"R03CC02","salbutamol"
"R03CC03","terbutaline"
"R03DA04","theophylline"
"R03DA05","aminophylline"
"R03DC01","zafirlukast"
"R03DC03","montelukast"
"R03DX07","roflumilast"
"R05CB01","acetylcysteine"
"R05CB02","bromhexine"
"R05DA01","ethylmorphine"
"R05DA09","dextromethorphan"
"R05DA20","combinations"
"R05FB02","cough suppressants and expectorants"
"R06AE03","cyclizine"
"R06AE07","cetirizine"
"R06AE09","levocetirizine"
"R06AX13","loratadine"
"R06AX18","acrivastine"
"R06AX22","ebastine"
"R06AX25","mizolastine"
"R06AX26","fexofenadine"
"R06AX27","desloratadine"
