"LABEL","DESCRIPTION"
"G03DC02","norethisterone"
"N04BC01","bromocriptine"
"C01BA03","disopyramide"
"C01BD07","dronedarone"
"M05BA02","clodronic acid"
"L04AD01","ciclosporin"
"J01CF05","flucloxacillin"
"M01CC01","penicillamine"
"C01BB02","mexiletine"
"A14AB01","nandrolone"
"N05AA01","chlorpromazine"
"H02AB01","betamethasone"
"L02AA02","polyestradiol phosphate"
"J01CF01","dicloxacillin"
"G02CB01","bromocriptine"
"L02BG04","letrozole"
"L03AB04","interferon alfa-2a"
"L02BG06","exemestane"
"A11CC02","dihydrotachysterol"
"L01BB05","fludarabine"
"G03FA14","dydrogesterone and estrogen"
"C01BC03","propafenone"
"R03BA08","ciclesonide"
"N06AG02","moclobemide"
"J02AB02","ketoconazole"
"N02CC03","zolmitriptan"
"G03FB05","norethisterone and estrogen"
"G03FB08","dydrogesterone and estrogen"
"G03FB06","medroxyprogesterone and estrogen"
"J01XX01","fosfomycin"
"L02BA02","toremifene"
"G03BB01","mesterolone"
"C05AA01","hydrocortisone"
"L01AA02","chlorambucil"
"A03BA03","hyoscyamine"
"G01AF05","econazole"
"C09DX01","valsartan, amlodipine and hydrochlorothiazide"
"L02BX02","degarelix"
"L01CA04","vinorelbine"
"M05BA08","zoledronic acid"
"R03DX07","roflumilast"
"N05AF01","flupentixol"
"C01CA24","epinephrine"
"N05BE01","buspirone"
"N03AX11","topiramate"
"N05AF05","zuclopenthixol"
"N05AB01","dixyrazine"
"G03CX01","tibolone"
"C09BB04","perindopril and amlodipine"
"C07FB03","atenolol and other antihypertensives"
"N05AX12","aripiprazole"
"H04AA01","glucagon"
"L03AA02","filgrastim"
"C04AX01","cyclandelate"
"M04AA03","febuxostat"
"L01XX35","anagrelide"
"L01XE04","sunitinib"
"N07BB01","disulfiram"
"A07EA06","budesonide"
"A10AB06","insulin glulisine"
"C02AC01","clonidine"
"A12AA05","calcium lactate"
"H05BX01","cinacalcet"
"N03AX14","levetiracetam"
"A12AA10","calcium glucoheptonate"
"A05AA02","ursodeoxycholic acid"
"A12AA08","calcium glycerylphosphate"
"G03XC01","raloxifene"
"N07AA03","distigmine"
"L01AA01","cyclophosphamide"
"C10AB05","fenofibrate"
"N05AC01","periciazine"
"A10AB04","insulin lispro"
"A12AA06","calcium lactate gluconate"
"A12AA12","calcium acetate anhydrous"
"G03DA02","medroxyprogesterone"
"N04BC06","cabergoline"
"N04BD02","rasagiline"
"G03BA03","testosterone"
"L01BB02","mercaptopurine"
"N03AF02","oxcarbazepine"
"N06AA10","nortriptyline"
"C10BA02","simvastatin and ezetimibe"
"J04BA02","dapsone"
"N06AB08","fluvoxamine"
"N05AH02","clozapine"
"A02BA03","famotidine"
"A11CC03","alfacalcidol"
"L03AA13","pegfilgrastim"
"N05AF03","chlorprothixene"
"R01BA01","phenylpropanolamine"
"N06AX05","trazodone"
"A01AC01","triamcinolone"
"C09DA02","eprosartan and diuretics"
"B03XA02","darbepoetin alfa"
"N05BA02","chlordiazepoxide"
"M01AC01","piroxicam"
"N06AX18","reboxetine"
"N02CA52","ergotamine, combinations excl. psycholeptics"
"R05DA09","dextromethorphan"
"R03AC04","fenoterol"
"R03AC12","salmeterol"
"B01AX06",
"L01BA01","methotrexate"
"A04AA02","granisetron"
"L04AA13","leflunomide"
"A07EA02","hydrocortisone"
"B01AE07","dabigatran etexilate"
"R06AX13","loratadine"
"N03AX09","lamotrigine"
"G03FB09","levonorgestrel and estrogen"
"R06AX18","acrivastine"
"J01XC01","fusidic acid"
"N06AA06","trimipramine"
"A07AA09","vancomycin"
"J04AB02","rifampicin"
"B01AX05","fondaparinux"
"L01XX11","estramustine"
"A10BX02","repaglinide"
"N04BC04","ropinirole"
"C02CA01","prazosin"
"M01AG01","mefenamic acid"
"R03DC01","zafirlukast"
"A10BG02","rosiglitazone"
"N06AB05","paroxetine"
"C07BB02","metoprolol and thiazides"
"N05AL01","sulpiride"
"N06AA04","clomipramine"
"A10BG03","pioglitazone"
"M05BB04","risedronic acid, calcium and colecalciferol, sequential"
"R03BC03","nedocromil"
"M05BA01","etidronic acid"
"B03XA01","erythropoietin"
"R03AC13","formoterol"
"C09DA08","olmesartan medoxomil and diuretics"
"M05BX04","denosumab"
"G03HA01","cyproterone"
"N06AX16","venlafaxine"
"L04AX01","azathioprine"
"J01CE08","benzathine benzylpenicillin"
"A10BD03","metformin and rosiglitazone"
"L01XE01","imatinib"
"A02BA04","nizatidine"
"R01AD05","budesonide"
"C07AB08","celiprolol"
"A03FA02","cisapride"
"L01AA03","melphalan"
"R06AX26","fexofenadine"
"M03BA52","carisoprodol, combinations excl. psycholeptics"
"A10BH02","vildagliptin"
"C09BA03","lisinopril and diuretics"
"N04BB01","amantadine"
"J01FA15","telithromycin"
"C09AA06","quinapril"
"N04BD01","selegiline"
"C07AB05","betaxolol"
"H01BA02","desmopressin"
"C03DB01","amiloride"
"C08CA07","nisoldipine"
"L01XX05","hydroxycarbamide"
"G03FA12","medroxyprogesterone and estrogen"
"M03BC01","orphenadrine (citrate)"
"C09BA06","quinapril and diuretics"
"C09DA07","telmisartan and diuretics"
"M01AB01","indometacin"
"R01AX03","ipratropium bromide"
"M01CB01","sodium aurothiomalate"
"C09AA03","lisinopril"
"M01AC02","tenoxicam"
"G04BD09","trospium"
"M01AE11","tiaprofenic acid"
"N04BA03","levodopa, decarboxylase inhibitor and COMT inhibitor"
"G03FA01","norethisterone and estrogen"
"H02AB02","dexamethasone"
"M01AB51","indometacin, combinations"
"A10AB01","insulin (human)"
"A10BD08","metformin and vildagliptin"
"N05CD02","nitrazepam"
"C02AC05","moxonidine"
"H02AB09","hydrocortisone"
"L04AX03","methotrexate"
"C07AB12","nebivolol"
"R03CC02","salbutamol"
"L01BC06","capecitabine"
"H02BX01","methylprednisolone, combinations"
"C09DB01","valsartan and amlodipine"
"M01AH03","valdecoxib"
"A07DA03","loperamide"
"N02CC01","sumatriptan"
"A03CA02","clidinium and psycholeptics"
"N06AX21","duloxetine"
"C09CA02","eprosartan"
"C01BD01","amiodarone"
"A11DB","Vitamin B1 in combination with vitamin B6 and/or vitamin B12"
"A10AD05","insulin aspart"
"A10AE05","insulin detemir"
"C09CA08","olmesartan medoxomil"
"C10AC01","colestyramine"
"A10AD01","insulin (human)"
"M01AB16","aceclofenac"
"A10AB05","insulin aspart"
"L02AE03","goserelin"
"C07AA06","timolol"
"L02AE02","leuprorelin"
"G04CA52","tamsulosin and dutasteride"
"G04BD11","fesoterodine"
"L02BB03","bicalutamide"
"A10AE04","insulin glargine"
"G04CB02","dutasteride"
"A07EC01","sulfasalazine"
"J02AC02","itraconazole"
"C01BC04","flecainide"
"R01AC01","cromoglicic acid"
"H02AB04","methylprednisolone"
"N03AB02","phenytoin"
"J01AA07","tetracycline"
"N05AC02","thioridazine"
"J01FA01","erythromycin"
"N06AX03","mianserin"
"A10AC01","insulin (human)"
"N05AA02","levomepromazine"
"A02BX02","sucralfate"
"C09DA01","losartan and diuretics"
"C09CA07","telmisartan"
"R01AD01","beclometasone"
"H03BB01","carbimazole"
"B01AB04","dalteparin"
"G04CA02","tamsulosin"
"C03BA11","indapamide"
"R01AD11","triamcinolone"
"G04CB01","finasteride"
"C09BA05","ramipril and diuretics"
"N04AA02","biperiden"
"M01AX01","nabumetone"
"N04BX02","entacapone"
"R05DA01","ethylmorphine"
"N03AX12","gabapentin"
"R03BB04","tiotropium bromide"
"G04BD08","solifenacin"
"R03AC03","terbutaline"
"N05AD03","melperone"
"C10AA07","rosuvastatin"
"R06AX22","ebastine"
"R03AL02",
"R03DA04","theophylline"
"R03BB01","ipratropium bromide"
"P01BA02","hydroxychloroquine"
"M01AE03","ketoprofen"
"N05BA01","diazepam"
"J05AB11","valaciclovir"
"C08CA13","lercanidipine"
"G04CA01","alfuzosin"
"C10AA04","fluvastatin"
"A10BX01","guar gum"
"R05CB01","acetylcysteine"
"L02BG03","anastrozole"
"A07EC02","mesalazine"
"A01AB04","amphotericin B"
"M01AH02","rofecoxib"
"R01AD12","fluticasone furoate"
"N04BC05","pramipexole"
"M09AA72","quinine, combinations with psycholeptics"
"J01FF01","clindamycin"
"A02BD03","lansoprazole, amoxicillin and metronidazole"
"G01AA10","clindamycin"
"J01DC02","cefuroxime"
"N05AH03","olanzapine"
"B01AB05","enoxaparin"
"R01AD08","fluticasone"
"M01AG02","tolfenamic acid"
"J01EE01","sulfamethoxazole and trimethoprim"
"G03CA04","estriol"
"C08CA03","isradipine"
"M03BC51","orphenadrine, combinations"
"A07AA02","nystatin"
"N02AA05","oxycodone"
"R03BA02","budesonide"
"R03DC03","montelukast"
"N06AB06","sertraline"
"J01DC04","cefaclor"
"N06AB10","escitalopram"
"C08DA01","verapamil"
"C09DA03","valsartan and diuretics"
"C09AA01","captopril"
"A10BB12","glimepiride"
"C08CA10","nilvadipine"
"N07CA01","betahistine"
"C05AA08","fluocortolone"
"J01MA01","ofloxacin"
"B01AC04","clopidogrel"
"N05AD01","haloperidol"
"A10BD07","metformin and sitagliptin"
"N05AB03","perphenazine"
"M01AE52","naproxen and esomeprazole"
"A10BH01","sitagliptin"
"C08CA05","nifedipine"
"R03AL01",
"A02BC04","rabeprazole"
"R03BA05","fluticasone"
"A10BA02","metformin"
"C07AB04","acebutolol"
"M05BX03","strontium ranelate"
"R06AE07","cetirizine"
"A01AB09","miconazole"
"A02BD07","lansoprazole, amoxicillin and clarithromycin"
"C07FB02","metoprolol and other antihypertensives"
"A06AC51","ispaghula, combinations"
"A02BD02","lansoprazole, tetracycline and metronidazole"
"J01FA06","roxithromycin"
"C09BA04","perindopril and diuretics"
"R01AD09","mometasone"
"C09BA02","enalapril and diuretics"
"N03AE01","clonazepam"
"J01MA14","moxifloxacin"
"M04AA01","allopurinol"
"N03AG01","valproic acid"
"J02AC01","fluconazole"
"N06DA03","rivastigmine"
"C10AA05","atorvastatin"
"C04AE01","ergoloid mesylates"
"C10AX09","ezetimibe"
"J05AB09","famciclovir"
"J01XE01","nitrofurantoin"
"C10AA03","pravastatin"
"M01AB55","diclofenac, combinations"
"L02BA01","tamoxifen"
"M01AE02","naproxen"
"B01AC30","combinations"
"N06AA12","doxepin"
"A10AD04","Insulin lispro "
"N06DA04","galantamine"
"A10BB01","glibenclamide"
"A10BB07","glipizide"
"N02AC04","dextropropoxyphene"
"C07AA07","sotalol"
"N05AB04","prochlorperazine"
"R06AX27","desloratadine"
"C07AA05","propranolol"
"R03AK06","salmeterol and other drugs for obstructive airway diseases"
"R03AK07","formoterol and other drugs for obstructive airway diseases"
"R03BA01","beclometasone"
"G04BD10","darifenacin"
"R01BA52","pseudoephedrine, combinations"
"C08CA02","felodipine"
"C07AG02","carvedilol"
"M01AH01","celecoxib"
"J01FA10","azithromycin"
"M05BB03","alendronic acid and colecalciferol"
"A02BA02","ranitidine"
"J01MA12","levofloxacin"
"C10AA02","lovastatin"
"N04BA02","levodopa and decarboxylase inhibitor"
"N03AX16","pregabalin"
"C10AA01","simvastatin"
"H02AA02","fludrocortisone"
"N06AA09","amitriptyline"
"N05AH04","quetiapine"
"J01CF02","cloxacillin"
"C08DB01","diltiazem"
"R06AE09","levocetirizine"
"P01AB01","metronidazole"
"B02AA02","tranexamic acid"
"A04AA01","ondansetron"
"J01AA04","lymecycline"
"J01EA01","trimethoprim"
"C09CA01","losartan"
"C01CA01","etilefrine"
"M02AA15","diclofenac"
"J01FA09","clarithromycin"
"M01AB05","diclofenac"
"M01AB08","etodolac"
"N02CA01","dihydroergotamine"
"M03BX02","tizanidine"
"C07AA03","pindolol"
"A02BC05","esomeprazole"
"N05CF02","zolpidem"
"G04BD04","oxybutynin"
"J01XX05","methenamine"
"M02AA07","piroxicam"
"J01CR02","amoxicillin and enzyme inhibitor"
"B03BA03","hydroxocobalamin"
"A06AC01","ispaghula (psylla seeds)"
"B01AC07","dipyridamole"
"M01AC06","meloxicam"
"J01EE02","sulfadiazine and trimethoprim"
"H05BA01","calcitonin (salmon synthetic)"
"C09AA02","enalapril"
"C09CA03","valsartan"
"C07BB07","bisoprolol and thiazides"
"N02AA59","codeine, combinations excl. psycholeptics"
"M01AX05","glucosamine"
"C03EA02","trichlormethiazide and potassium-sparing agents"
"J05AB01","aciclovir"
"N06DX01","memantine"
"N02AX02","tramadol"
"A02BC03","lansoprazole"
"M01AH05","etoricoxib"
"J01DB05","cefadroxil"
"J01MA06","norfloxacin"
"M09AX01","hyaluronic acid"
"N02AE01","buprenorphine"
"C03DA01","spironolactone"
"N06AX11","mirtazapine"
"J01MA02","ciprofloxacin"
"A12BA01","potassium chloride"
"C09AA04","perindopril"
"N03AF01","carbamazepine"
"N02AB03","fentanyl"
"J01CA08","pivmecillinam"
"M05BA06","ibandronic acid"
"N05BA06","lorazepam"
"G03CA03","estradiol"
"H02AB06","prednisolone"
"C03AA03","hydrochlorothiazide"
"H02AB07","prednisone"
"R03AC02","salbutamol"
"M01AE01","ibuprofen"
"N06AB03","fluoxetine"
"J01CE02","phenoxymethylpenicillin"
"C08CA01","amlodipine"
"C07AB07","bisoprolol"
"N05BA04","oxazepam"
"N05CD07","temazepam"
"N06CA01","amitriptyline and psycholeptics"
"B01AA03","warfarin"
"C01AA05","digoxin"
"A02BC02","pantoprazole"
"C01DA14","isosorbide mononitrate"
"J01CA04","amoxicillin"
"C07AB02","metoprolol"
"J01AA02","doxycycline"
"A03FA01","metoclopramide"
"A06AD11","lactulose"
"J01DB01","cefalexin"
"G04BD07","tolterodine"
"R05DA20","combinations"
"M05BA07","risedronic acid"
"A12AX","Calcium, combinations with vitamin D and/or other drugs"
"C09AA05","ramipril"
"N05AX08","risperidone"
"C01DA08","isosorbide dinitrate"
"C03CA01","furosemide"
"M05BA04","alendronic acid"
"N02BE01","paracetamol"
"C09DA06","candesartan and diuretics "
"B03BA02","cyanocobalamin tannin complex"
"C01DA02","glyceryl trinitrate"
"A02BC01","omeprazole"
"H03AA01","levothyroxine sodium"
"C09CA06","candesartan"
"C07AB03","atenolol"
"M02AA10","ketoprofen"
"C03EA01","hydrochlorothiazide and potassium-sparing agents"
"N06AB04","citalopram"
"N05BA12","alprazolam"
"C03EB01","furosemide and potassium-sparing agents"
"N05CF01","zopiclone"
"N06DA02","donepezil"
