VARIABLE1_LABEL,VARIABLE2_LABEL,EFFECT,EFFECT_L95,EFFECT_U95,N,P,P_ADJ,Drug1,Drug2,Drug1_N,Drug1_LCI95,Drug1_UCI95,Drug1_OR,Drug1_P,Drug1_PFDR,Drug2_N,Drug2_LCI95,Drug2_UCI95,Drug2_OR,Drug2_P,Drug2_PFDR,Interaction_Event_N,Name,Type,Magnitude
A02BC04,A01AB09,0.60141072,1.01E-161,3.57E+160,3,0.998,1,A08AA10,A06AC01,205,1.07E-22,8.49734E+16,0.003021862,0.8,0.897477273,216101,1.508660214,1.832593885,1.662757193,1.22E-24,4.35E-24,0,sibutramine / ispaghula (psylla seeds),-+ -,NORMAL
A07EC02,A02BC01,0.540489817,3.16E-95,9.23E+93,9,0.996,1,A08AA10,A03FA01,205,5.42E-23,1.67122E+17,0.003010102,0.802,0.897616134,72453,1.579606034,2.167086185,1.850173617,2.39E-14,6.39E-14,0,sibutramine / metoclopramide,-+ -,NORMAL
A07DA03,A01AB04,0.416220368,8.91E-65,1.94E+63,21,0.991,1,A08AA10,A02BC02,205,1.32E-23,7.54012E+17,0.00315684,0.81,0.899528708,770822,2.295941858,2.514157357,2.402573435,0,0,0,sibutramine / pantoprazole,-+ -,NORMAL
A10AB04,A06AC51,0.437868184,7.38E-162,2.60E+160,3,0.997,1,A08AA10,A02BC01,205,1.09E-22,8.6134E+16,0.003063135,0.8,0.897477273,334991,2.134079834,2.444007636,2.283792331,5.89E-126,5.30E-125,0,sibutramine / omeprazole,-+ -,NORMAL
A08AB01,A10AB05,0.572169299,5.26E-85,6.22E+83,12,0.9955,1,A04AD12,A09AA02,122,1.32E-29,6.81E+23,0.003002148,0.8512,0.913088022,8400,1.085791865,2.813224003,1.747734458,0.0215,0.031495269,0,"aprepitant / multienzymes (lipase, protease etc.)",-+ -,NORMAL
A07EC02,A06AC01,0.451859936,9.58E-54,2.13E+52,42,0.9898,1,A04AD12,A04AA02,122,3.74E-34,2.41E+28,0.003001585,0.8729,0.92506989,1991,0.920022947,5.323455978,2.213075159,0.0761,0.104196492,0,aprepitant / granisetron,-+ -,NORMAL
A10AD01,A02BC05,0.486122838,2.84E-127,8.33E+125,5,0.996,1,A04AD12,A10AB05,122,8.40E-29,1.08E+23,0.003016765,0.847,0.911682824,101983,1.812156323,2.335136605,2.057093232,7.06E-29,2.79E-28,0,aprepitant / insulin aspart,-+ -,NORMAL
A02BB01,A02BC05,0.482446538,3.76E-82,6.20E+80,13,0.994,1,A04AD12,A10AE04,122,1.01E-29,9.08E+23,0.003030705,0.852,0.913344434,190759,1.888747029,2.27471932,2.072768525,2.77E-53,1.48E-52,0,aprepitant / insulin glargine,-+ -,NORMAL
A02BA03,A01AB09,0.880781053,8.10E-85,9.57E+83,12,0.999,1,A04AD12,A10BA02,122,1.34E-29,6.88E+23,0.003033607,0.851,0.912921986,1658920,1.086273381,1.186656262,1.13535594,1.80E-08,4.03E-08,0,aprepitant / metformin,-+ -,NORMAL
A08AA10,A10AC01,0.32537777,1.91E-92,5.55E+90,10,0.9916,1,A04AD12,A04AA01,122,2.28E-29,3.95E+23,0.003001915,0.8499,0.912557165,2258,1.534900488,6.153809075,3.073350704,0.00153,0.002485074,0,aprepitant / ondansetron,-+ -,NORMAL
A02BA03,A10AE04,0.463592433,2.72E-92,7.90E+90,10,0.994,1,A04AD12,A02BC05,122,2.35E-29,4.07E+23,0.003088634,0.851,0.912921986,524626,2.038644762,2.282368514,2.157067133,7.12E-157,7.00E-156,0,aprepitant / esomeprazole,-+ -,NORMAL
A07EC02,A04AA01,0.543864486,1.01E-116,2.93E+115,6,0.996,1,A04AD12,A02BC03,122,6.60E-29,1.41E+23,0.003054034,0.848,0.911981249,437068,1.721102379,1.964318444,1.838693326,6.34E-73,4.22E-72,0,aprepitant / lansoprazole,-+ -,NORMAL
A10BB12,A02BC05,0.601399841,1.12E-116,3.23E+115,6,0.997,1,A04AD12,A06AC01,122,6.53E-29,1.40E+23,0.003021874,0.847,0.911682824,216101,1.508687501,1.832627036,1.66278727,1.21E-24,4.32E-24,0,aprepitant / ispaghula (psylla seeds),-+ -,NORMAL
A10BB12,A03FA01,0.539992467,2.03E-52,1.44E+51,75,0.992,1,A04AD12,A03FA01,122,1.44E-43,6.29E+37,0.003010123,0.902,0.941751999,72453,1.58106066,2.169082475,1.851877687,2.19E-14,5.88E-14,0,aprepitant / metoclopramide,-+ -,NORMAL
A10AD01,A10BB12,0.416199528,2.10E-51,8.23E+49,55,0.988,1,A04AD12,A02BC02,122,5.36E-37,1.86E+31,0.003156859,0.885,0.931372081,770822,2.296056814,2.514283252,2.402693737,0,0,0,aprepitant / pantoprazole,-+ -,NORMAL
A07EC01,A02BX02,0.519898893,1.33E-162,2.03E+161,3,0.997,1,A04AD12,A06AD11,122,1.40E-28,6.68E+22,0.003056056,0.846,0.911393616,412188,1.799614107,2.055809298,1.923450913,1.06E-82,8.44E-82,0,aprepitant / lactulose,-+ -,NORMAL
A10AC01,A01AB09,0.43786108,1.07E-108,1.79E+107,7,0.995,1,A04AD12,A02BC01,122,5.12E-29,1.83E+23,0.003063148,0.848,0.911981249,334991,2.134114454,2.444047288,2.283829382,5.82E-126,5.24E-125,0,aprepitant / omeprazole,-+ -,NORMAL
A03FA02,A01AB09,333.1956923,7.63E-302,1.45E+306,5,0.987,1,A10AB02,A10AE02,6,1.13E-279,7.94E+273,0.003001239,0.986,0.99097717,156,9.60E-26,9.38063E+19,0.003001239,0.826,0.859495691,0,insulin (beef) / insulin (beef),-- +,NORMAL
A07EB01,A10BA02,0.752624885,3.44E-62,1.65E+61,24,0.9969,1,A10AE02,A10AB04,156,2.62E-27,3.44E+21,0.003002991,0.8372,0.908711546,37011,1.02436996,1.723399721,1.328683146,0.0322,0.046535544,0,insulin (beef) / insulin lispro,-+ -,NORMAL
A07EC02,A03FA01,0.867996559,5.72E-50,1.32E+49,44,0.998,1,A10AE02,A10AB01,156,2.28E-29,3.95E+23,0.003002322,0.85,0.912557165,49415,0.904675482,1.467138698,1.1520783,0.251,0.306849043,0,insulin (beef) / insulin (human),-+ -,NORMAL
A07EA06,A02BA02,0.457309563,4.39E-141,4.77E+139,4,0.996,1,A10AE02,A10AE05,156,1.14E-25,7.94E+19,0.003013281,0.826,0.904382963,70496,1.886568462,2.534585022,2.186702578,2.85E-25,1.03E-24,0,insulin (beef) / insulin detemir,-+ -,NORMAL
A02BA03,A07AA02,0.485936368,3.20E-50,7.38E+48,44,0.99,1,A10AE02,A10AB05,156,2.29E-29,3.97E+23,0.003016765,0.85,0.912557165,101983,1.812851605,2.336032808,2.057882607,6.61E-29,2.62E-28,0,insulin (beef) / insulin aspart,-+ -,NORMAL
A06AC51,A06AC01,0.482467804,1.08E-126,2.15E+125,5,0.996,1,A10AE02,A10AE04,156,9.70E-26,9.47271E+19,0.003030699,0.826,0.904382963,190759,1.88866379,2.27461905,2.072677166,2.81E-53,1.50E-52,0,insulin (beef) / insulin glargine,-+ -,NORMAL
A10AB04,A02BD02,0.880780543,3.45E-52,2.25E+51,5,0.998,1,A10BD04,A10BA02,23,2.41E-26,2.09E+22,0.022416393,0.893,0.936102287,1658920,1.086274765,1.186656124,1.135356597,1.80E-08,4.03E-08,0,glimepiride and rosiglitazone / metformin,-+ -,NORMAL
A10AB04,A10BB12,0.724826506,2.58E-43,2.04E+42,12,0.995,1,A10BD04,A10BB12,23,4.91E-33,1.03E+29,0.022483107,0.916,0.950197158,756692,1.301639527,1.462315687,1.379640496,2.27E-27,8.71E-27,0,glimepiride and rosiglitazone / glimepiride,-+ -,NORMAL
A02BA04,A10BB07,0.543858022,1.94E-44,1.52E+43,9,0.99,1,A10BD04,A02BC03,23,1.50E-29,3.40E+25,0.022567339,0.905,0.943527741,437068,1.721123013,1.964341587,1.838715179,6.29E-73,4.20E-72,0,glimepiride and rosiglitazone / lansoprazole,-+ -,NORMAL
A05AA02,A10AE04,0.460931035,2.62E-265,8.11E+263,3,0.998,1,A04AA03,A04AA02,354,5.22E-28,2.34E+21,0.001104203,0.8117,0.900066455,1991,0.901936911,5.218575111,2.169521956,0.0837,0.113419427,0,tropisetron / granisetron,-+ -,NORMAL
A10AB05,A02BC03,0.457313931,3.09E-230,6.76E+228,4,0.998,1,A04AA03,A10AE05,354,4.83E-28,2.54E+21,0.00110851,0.812,0.900066455,70496,1.88655044,2.534560809,2.186681689,2.85E-25,1.03E-24,0,tropisetron / insulin detemir,-+ -,NORMAL
A03FA02,A10AC01,1.347336576,7.66E-265,2.37E+264,3,0.9992,1,A04AA03,A07EC01,354,5.20E-28,2.33E+21,0.001101942,0.8116,0.900066455,156322,0.626652668,0.879064836,0.742205042,0.000555,0.000927152,0,tropisetron / sulfasalazine,-- +,NORMAL
A10AD05,A10AE04,0.524051348,2.98E-265,9.22E+263,3,0.998,1,A04AA03,A02BX02,354,5.22E-28,2.34E+21,0.001104885,0.812,0.900066455,16734,1.381742982,2.635269577,1.908209958,8.74E-05,0.000152946,0,tropisetron / sucralfate,-+ -,NORMAL
A10AD05,A02BC02,0.880791152,1.44E-129,5.40E+128,13,0.999,1,A04AA03,A10BA02,354,2.33E-28,5.34E+21,0.001115984,0.815,0.900514339,1658920,1.086260926,1.186642655,1.135342921,1.81E-08,4.05E-08,0,tropisetron / metformin,-+ -,NORMAL
A07DA03,A07AA02,0.72484644,4.90E-230,1.07E+229,4,0.999,1,A04AA03,A10BB12,354,4.88E-28,2.57E+21,0.001119306,0.812,0.900066455,756692,1.301603394,1.462275848,1.379602554,2.29E-27,8.77E-27,0,tropisetron / glimepiride,-+ -,NORMAL
A02BC03,A03FA01,1.070469271,6.78E-147,1.69E+146,10,1,1,A04AA03,A10BB01,354,2.96E-28,4.12E+21,0.001102999,0.814,0.900286444,309487,0.838759329,1.040433258,0.934169739,0.215,0.268566426,0,tropisetron / glibenclamide,-- +,NORMAL
A04AA02,A07EC01,0.690909369,3.93E-265,1.22E+264,3,0.999,1,A04AA03,A02BA02,354,5.23E-28,2.34E+21,0.00110667,0.812,0.900066455,109219,1.251307027,1.674148401,1.447367838,6.40E-07,1.28E-06,0,tropisetron / ranitidine,-+ -,NORMAL
A02BC04,A02BC01,0.325817226,3.38E-175,3.14E+173,7,0.9956,1,A04AA03,A04AA01,354,3.78E-28,3.23E+21,0.001104326,0.8127,0.900176571,2258,1.532832776,6.145498786,3.069205429,0.00155,0.00251594,0,tropisetron / ondansetron,-+ -,NORMAL
A09AA02,A10AE04,0.463573203,3.09E-80,6.94E+78,37,0.993,1,A04AA03,A02BC05,354,2.87E-29,4.49E+22,0.001136229,0.822,0.902931642,524626,2.038729321,2.282463198,2.157156611,6.85E-157,6.76E-156,0,tropisetron / esomeprazole,-+ -,NORMAL
A10AB04,A10BD03,0.543861767,8.88E-130,3.33E+128,13,0.997,1,A04AA03,A02BC03,354,2.35E-28,5.38E+21,0.0011235,0.815,0.900514339,437068,1.72111098,1.964328265,1.838702517,6.32E-73,4.21E-72,0,tropisetron / lansoprazole,-+ -,NORMAL
A04AA03,A02BC03,0.601409438,3.24E-206,1.12E+205,5,0.998,1,A04AA03,A06AC01,354,4.47E-28,2.76E+21,0.001111669,0.812,0.900066455,216101,1.508663427,1.832597792,1.662760736,1.22E-24,4.35E-24,0,tropisetron / ispaghula (psylla seeds),-+ -,NORMAL
A10AD05,A02BC05,0.539233222,1.94E-49,1.50E+48,177,0.991,1,A04AA03,A03FA01,354,6.15E-38,2.00E+31,0.001107352,0.866,0.921045968,72453,1.58328643,2.172137078,1.854485147,1.91E-14,5.14E-14,0,tropisetron / metoclopramide,-+ -,NORMAL
A06AC51,A10BB07,0.416202101,4.20E-66,4.12E+64,59,0.991,1,A04AA03,A02BC02,354,3.39E-30,3.97E+23,0.001161326,0.828,0.904923813,770822,2.296042623,2.514267713,2.402678887,0,0,0,tropisetron / pantoprazole,-+ -,NORMAL
A06AC01,A06AD11,0.519895783,3.29E-147,8.21E+145,10,0.997,1,A04AA03,A06AD11,354,3.01E-28,4.20E+21,0.001124244,0.814,0.900286444,412188,1.799624871,2.0558216,1.92346242,1.06E-82,8.44E-82,0,tropisetron / lactulose,-+ -,NORMAL
A10AB05,A02BA02,0.437839406,2.42E-92,7.91E+90,27,0.994,1,A04AA03,A02BC01,354,7.07E-29,1.80E+22,0.001126854,0.819,0.901421497,334991,2.134220086,2.444168286,2.283942436,5.63E-126,5.09E-125,0,tropisetron / omeprazole,-+ -,NORMAL
A10AB01,A07EC01,0.752504157,2.08E-84,2.72E+83,31,0.9977,1,A08AB01,A10AB04,768,1.80E-20,6.77249E+13,0.001104703,0.7299,0.896892657,37011,1.024534265,1.723676279,1.328896313,0.0321,0.046397002,0,orlistat / insulin lispro,-+ -,NORMAL
A02BB01,A01AB09,1.255693073,1.48E-123,1.06E+123,14,0.999,1,A08AB01,A10BD03,768,2.79E-20,4.36564E+13,0.001103754,0.727,0.896892657,28120,0.542019565,1.170086691,0.796372952,0.246,0.301470354,0,orlistat / metformin and rosiglitazone,-- +,NORMAL
A07EA06,A02BC04,0.481651782,1.11E-264,2.10E+263,3,0.998,1,A08AB01,A10AD05,768,3.70E-20,3.33165E+13,0.001109793,0.725,0.896885417,100627,1.828499939,2.357429457,2.076188725,1.83E-29,7.29E-29,0,orlistat / insulin aspart,-+ -,NORMAL
A02BD07,A06AC01,0.48612841,4.38E-174,5.39E+172,7,0.997,1,A08AB01,A10AB05,768,3.35E-20,3.68042E+13,0.001109767,0.726,0.896892657,101983,1.812135549,2.335109849,2.057069655,7.08E-29,2.80E-28,0,orlistat / insulin aspart,-+ -,NORMAL
A02BX02,A02BC03,0.482413047,2.43E-83,9.57E+81,32,0.994,1,A08AB01,A10AE04,768,1.77E-20,7.01679E+13,0.001114896,0.73,0.896892657,190759,1.888878136,2.274877269,2.072912428,2.71E-53,1.45E-52,0,orlistat / insulin glargine,-+ -,NORMAL
A03CA02,A02BC01,1.347267989,1.59E-123,1.14E+123,14,0.9984,1,A08AB01,A07EC01,768,2.79E-20,4.35839E+13,0.001101921,0.7269,0.896892657,156322,0.626684566,0.879109591,0.742242826,0.000556,0.000928623,0,orlistat / sulfasalazine,-- +,NORMAL
A07AA09,A10BA02,0.743848437,2.61E-66,2.12E+65,52,0.997,1,A08AB01,A10AC01,768,1.03E-20,1.19724E+14,0.001112428,0.734,0.896892657,458569,1.247572586,1.448655992,1.344359886,8.34E-15,2.29E-14,0,orlistat / insulin (human),-+ -,NORMAL
A10BB12,A10AD04,0.523841867,4.50E-146,6.10E+144,10,0.997,1,A08AB01,A02BX02,768,3.09E-20,3.95033E+13,0.001104863,0.726,0.896892657,16734,1.382295325,2.636323798,1.908973038,8.65E-05,0.000151586,0,orlistat / sucralfate,-+ -,NORMAL
A02BA03,A02BA02,0.88635478,3.02E-229,2.60E+228,4,1,1,A08AB01,A07EC02,768,3.59E-20,3.39922E+13,0.001104541,0.725,0.896885417,71045,0.92023493,1.383203577,1.128216401,0.246,0.301470354,0,orlistat / mesalazine,-+ -,NORMAL
A06AD12,A06AC51,0.880704492,1.68E-38,4.62E+37,196,0.998,1,A08AB01,A10BA02,768,9.82E-23,1.26829E+16,0.001115971,0.761,0.896892657,1658920,1.086367809,1.186759423,1.135454638,1.76E-08,3.95E-08,0,orlistat / metformin,-+ -,NORMAL
A01AC01,A02BA02,0.724817607,8.36E-69,6.29E+67,48,0.997,1,A08AB01,A10BB12,768,1.16E-20,1.08012E+14,0.001119285,0.733,0.896892657,756692,1.301655168,1.462334021,1.379657434,2.26E-27,8.68E-27,0,orlistat / glimepiride,-+ -,NORMAL
A02BA04,A03FA02,0.690904086,1.13E-187,4.23E+186,6,0.999,1,A08AB01,A02BA02,768,3.42E-20,3.57957E+13,0.001106648,0.726,0.896892657,109219,1.251316591,1.674161208,1.447378906,6.40E-07,1.28E-06,0,orlistat / ranitidine,-+ -,NORMAL
A05AA02,A02BC01,0.463571766,2.39E-68,9.00E+66,49,0.992,1,A08AB01,A02BC05,768,1.15E-20,1.12667E+14,0.001136207,0.734,0.896892657,524626,2.03873564,2.282470279,2.1571633,6.83E-157,6.74E-156,0,orlistat / esomeprazole,-+ -,NORMAL
A07EC02,A10BB07,0.543834614,1.60E-72,1.85E+71,43,0.994,1,A08AB01,A02BC03,768,1.33E-20,9.47172E+13,0.001123479,0.733,0.896892657,437068,1.721196906,1.964426351,1.838794322,6.15E-73,4.11E-72,0,orlistat / lansoprazole,-+ -,NORMAL
A07AA09,A03CA02,0.601272199,3.47E-63,1.04E+62,58,0.994,1,A08AB01,A06AC01,768,8.75E-21,1.41154E+14,0.00111165,0.735,0.896892657,216101,1.509007742,1.833016118,1.663140257,1.16E-24,4.16E-24,0,orlistat / ispaghula (psylla seeds),-+ -,NORMAL
A07EA02,A02BC05,0.416223636,6.56E-79,2.64E+77,36,0.992,1,A08AB01,A02BC02,768,1.66E-20,8.12241E+13,0.001161301,0.733,0.896892657,770822,2.295923832,2.514137623,2.402554575,0,0,0,orlistat / pantoprazole,-+ -,NORMAL
A02BB01,A02BA02,0.519872811,8.19E-79,3.30E+77,36,0.994,1,A08AB01,A06AD11,768,1.61E-20,7.86307E+13,0.001124222,0.731,0.896892657,412188,1.799704383,2.05591245,1.923547413,1.03E-82,8.23E-82,0,orlistat / lactulose,-+ -,NORMAL
A06AD12,A07AA02,0.437849597,5.13E-92,3.74E+90,26,0.994,1,A08AB01,A02BC01,768,2.09E-20,6.06324E+13,0.001126831,0.73,0.896892657,334991,2.134170415,2.4441114,2.28388928,5.72E-126,5.16E-125,0,orlistat / omeprazole,-+ -,NORMAL
A07AA02,A10AD04,0.628786341,1.66E-60,2.37E+59,9,0.995,1,A02BA07,A02BD02,75,1.88E-23,3.54031E+18,0.0081587,0.843,0.910844595,1635,0.512354985,4.936541984,1.590365334,0.422,0.474125323,0,"ranitidine bismuth citrate / lansoprazole, tetracycline and metronidazole",-+ -,NORMAL
A03CA05,A06AD11,1.501129722,6.53E-72,3.45E+71,6,0.996,1,A02BA07,A02BD07,75,5.34E-23,1.2455E+18,0.008157309,0.839,0.909462486,7760,0.299159339,1.483409261,0.666164946,0.32,0.375678549,0,"ranitidine bismuth citrate / lansoprazole, amoxicillin and clarithromycin",-- +,NORMAL
A07DA03,A06AD11,0.463589541,7.22E-54,2.98E+52,12,0.99,1,A02BA07,A02BC05,75,6.32E-24,1.11465E+19,0.008395877,0.847,0.911682824,524626,2.03865748,2.282382754,2.15708059,7.08E-157,6.96E-156,0,ranitidine bismuth citrate / esomeprazole,-+ -,NORMAL
A10AE02,A10AB01,0.543858135,6.09E-58,4.86E+56,10,0.993,1,A02BA07,A02BC03,75,1.33E-23,5.18487E+18,0.008301825,0.845,0.911393616,437068,1.721122474,1.964341381,1.838714795,6.30E-73,4.20E-72,0,ranitidine bismuth citrate / lansoprazole,-+ -,NORMAL
A07EA06,A10BB12,0.601398468,2.62E-72,1.38E+71,6,0.995,1,A02BA07,A06AC01,75,5.38E-23,1.25421E+18,0.008214403,0.84,0.909921128,216101,1.508690947,1.832631221,1.662791067,1.21E-24,4.32E-24,0,ranitidine bismuth citrate / ispaghula (psylla seeds),-+ -,NORMAL
A07AA09,A07EC02,0.416222726,6.48E-54,2.67E+52,12,0.989,1,A02BA07,A02BC02,75,6.46E-24,1.13927E+19,0.008581315,0.848,0.911981249,770822,2.295928853,2.514143113,2.402559825,0,0,0,ranitidine bismuth citrate / pantoprazole,-+ -,NORMAL
A01AB09,A02BD07,0.437860074,1.23E-67,1.56E+66,7,0.992,1,A02BA07,A02BC01,75,3.88E-23,1.78703E+18,0.008326599,0.841,0.910105874,334991,2.134119359,2.444052905,2.28383463,5.81E-126,5.23E-125,0,ranitidine bismuth citrate / omeprazole,-+ -,NORMAL
A10AD01,A02BD03,0.523886247,8.95E-42,3.07E+40,8,0.989,1,A07EB01,A02BX02,36,1.34E-21,3.66513E+17,0.022193411,0.866,0.921045968,16734,1.38217835,2.636100231,1.908811323,8.67E-05,0.000151879,0,cromoglicic acid / sucralfate,-+ -,NORMAL
A05AA02,A02BC04,0.886185588,3.71E-35,2.12E+34,15,0.998,1,A07EB01,A07EC02,36,1.43E-24,3.44E+20,0.022186952,0.884,0.93088256,71045,0.92041312,1.383463906,1.128431801,0.245,0.300660969,0,cromoglicic acid / mesalazine,-+ -,NORMAL
